student_id,Survey Tier,Small Group Tier Attendance,Class Participation Tier,Large Group Tier Attendance,Number of Practice Exams,Baseline Score,Most Recent Practice Exam,First Attempt,Second Attempt,Difference ,Summer _Large Group Attendance Tier,Summer_ClassParticipation_Tier,Summer_ Small_Group_Attendance_Tier,Reported Test Date,Summer_SurveyTier,ExamReport_Survey
5,Tier 3,Tier 3,Tier 3,Tier 1,4,492,493,493,499,6,Tier 2,Tier 2,Tier 2,No Date Reported,Tier 3,No
88,Tier 3,Tier 3,Tier 3,Tier 2,1,496,496,501,506,5,Tier 1,Tier 2,Tier 1,No Date Reported,Tier 3,No
6,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,493,,488,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
116,Tier 2,Tier 3,Tier 3,Tier 3,1,503,503,499,,,Tier 1,Tier 2,Tier 3,2025-06-28,Tier 1,Yes
8,Tier 3,Tier 3,Tier 3,Tier 3,1,-,-,495,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
7,Tier 2,Tier 3,Tier 3,Tier 3,3,492,493,487,,,Tier 1,Tier 1,Tier 1,2025-06-27,Tier 1,Yes
47,Tier 2,Tier 3,Tier 3,Tier 3,1,494,494,493,,,Tier 1,Tier 2,Tier 1,2025-07-25,Tier 2,No
1,Tier 2,Tier 3,Tier 3,Tier 2,1,494,494,493,,,Tier 1,Tier 2,Tier 3,2025-08-22,Tier 1,Yes
112,Tier 3,Tier 3,Tier 3,Tier 3,3,490,491,478,,,Tier 3,Tier 3,Tier 2,No Date Reported,Tier 3,No
126,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,495,,501,,,Tier 1,Tier 2,Tier 1,No Date Reported,Tier 3,No
128,Tier 3,Tier 3,Tier 3,Tier 2,No reported scores besides baseline,490,,481,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
87,Tier 2,Tier 3,Tier 3,Tier 1,6,491,494,494,497,3,Tier 1,Tier 1,Tier 1,2025-07-12,Tier 1,Yes
37,Tier 3,Tier 3,Tier 3,Tier 3,,496,,494,,,Tier 3,Tier 3,Tier 3,2025-08-01,Tier 1,Yes
28,Tier 3,Tier 3,Tier 3,Tier 2,,0,,485,,,Tier 3,Tier 3,Tier 3,2025-07-12,Tier 1,Yes
123,Tier 3,Tier 3,Tier 3,Tier 3,1,498,500,495,,,Tier 2,Tier 2,Tier 3,No Date Reported,Tier 3,No
139,Tier 1,Tier 3,Tier 3,Tier 2,5,495,505,500,501,1,Tier 3,Tier 3,Tier 3,2025-06-28,Tier 1,Yes
,,,,,,,,489,,,Tier 3,Tier 3,Tier 3,2025-07-25,Tier 2,No
93,Tier 1,Tier 1,Tier 3,Tier 1,4,497,497,496,503,7,Tier 1,Tier 1,Tier 1,2025-07-25,Tier 2,No
48,Tier 3,Tier 3,Tier 3,Tier 2,2,495,490,488,,,Tier 1,Tier 2,Tier 1,No Date Reported,Tier 3,No
55,Tier 3,Tier 3,Tier 3,Tier 3,,497,,504,506,2,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
90,Tier 1,Tier 3,Tier 3,Tier 1,6,499,495,498,,,Tier 1,Tier 1,Tier 1,2025-07-12,Tier 1,Yes
102,Tier 2,Tier 3,Tier 3,Tier 2,1,501,501,496,498,2,Tier 1,Tier 3,Tier 2,No Date Reported,Tier 3,No
91,Tier 1,Tier 3,Tier 3,Tier 1,5,495,496,492,,,Tier 1,Tier 1,Tier 1,2025-07-25,Tier 1,Yes
40,Tier 3,Tier 3,Tier 3,Tier 3,3,491,492,490,,,Tier 1,Tier 1,Tier 1,2025-07-12,Tier 2,No
12,Tier 2,Tier 3,Tier 3,Tier 2,1,498,498,491,493,2,Tier 3,Tier 3,Tier 3,2025-07-12,Tier 1,Yes
59,Tier 2,Tier 3,Tier 3,Tier 2,4,497,496,493,493,0,Tier 3,Tier 3,Tier 2,2025-08-16,Tier 2,No
68,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,493,,498,,,Tier 2,Tier 3,Tier 2,2025-08-16,Tier 1,Yes
61,Tier 2,Tier 3,Tier 3,Tier 1,3,496,494,492,497,5,Tier 3,Tier 3,Tier 3,2025-07-12,Tier 2,No
147,Tier 3,Tier 3,Tier 3,Tier 3,1,495,495,478,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
34,Tier 3,Tier 3,Tier 3,Tier 3,1,-,-,490,506,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
82,Tier 3,Tier 3,Tier 3,Tier 3,1,498,498,495,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
149,Tier 2,Tier 3,Tier 3,Tier 2,2,504,502,488,,,Tier 1,Tier 1,Tier 1,2025-07-25,Tier 1,Yes
51,Tier 2,Tier 3,Tier 3,Tier 3,2,501,501,495,,,Tier 2,Tier 2,Tier 2,No Date Reported,Tier 3,No
67,Tier 3,Tier 3,Tier 3,Tier 2,No reported scores besides baseline,494,,481,,,Tier 2,Tier 2,Tier 3,No Date Reported,Tier 3,No
89,Tier 2,Tier 3,Tier 3,Tier 2,2,493,493,497,505,8,Tier 1,Tier 2,Tier 2,2025-07-25,Tier 2,No
27,Tier 2,Tier 3,Tier 3,Tier 1,2,500,507,487,,,Tier 1,Tier 1,Tier 1,2025-07-12,Tier 2,No
65,Tier 2,Tier 3,Tier 3,Tier 2,5,493,518,491,494,3,Tier 1,Tier 1,Tier 1,No Date Reported,Tier 3,No
73,Tier 1,Tier 3,Tier 3,Tier 2,3,503,502,492,498,6,Tier 2,Tier 2,Tier 3,2025-07-12,Tier 1,Yes
,Tier 3,Tier 1,Tier 3,Tier 3,No reported scores besides baseline,,,497,,,Tier 2,Tier 2,Tier 3,2025-08-22,Tier 2,No
71,Tier 2,Tier 3,Tier 3,Tier 1,4,494,494,489,,,Tier 1,Tier 1,Tier 2,2004-06-15,Tier 2,No
75,Tier 3,Tier 3,Tier 3,Tier 3,1,495,495,497,,,Tier 2,Tier 2,Tier 2,No Date Reported,Tier 3,No
131,Tier 2,Tier 3,Tier 1,Tier 1,10,493,497,501,506,5,Tier 1,Tier 1,Tier 1,No Date Reported,Tier 2,Yes
125,Tier 2,Tier 3,Tier 3,Tier 3,5,494,500,499,499,0,Tier 3,Tier 3,Tier 3,2025-07-11,Tier 1,Yes
84,Tier 3,Tier 3,Tier 3,Tier 3,,499,,491,503,12,Tier 2,Tier 2,Tier 3,No Date Reported,Tier 2,Yes
101,Tier 1,Tier 3,Tier 3,Tier 3,6,500,502,495,500,5,Tier 1,Tier 3,Tier 2,2025-07-12,Tier 1,Yes
15,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,500,,491,498,7,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 2,Yes
124,Tier 1,Tier 3,Tier 3,Tier 2,5,502,500,496,507,11,Tier 1,Tier 2,Tier 2,2025-07-25,Tier 1,Yes
105,Tier 2,Tier 3,Tier 3,Tier 1,2,485,485,485,,,Tier 1,Tier 1,Tier 1,2025-07-12,Tier 1,Yes
100,Tier 2,Tier 3,Tier 3,Tier 3,1,497,497,501,,,Tier 1,Tier 3,Tier 1,2025-09-01,Tier 1,Yes
80,Tier 3,Tier 3,Tier 3,Tier 3,,491,,496,,,Tier 2,Tier 2,Tier 3,2025-08-01,Tier 1,Yes
76,Tier 3,Tier 3,Tier 3,Tier 3,,497,,495,,,Tier 1,Tier 1,Tier 1,2025-06-28,Tier 2,No
133,Tier 2,Tier 3,Tier 3,Tier 3,3,486,501,501,,,Tier 3,Tier 3,Tier 3,2025-08-23,Tier 2,No
97,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,494,,495,,,No Tier,No Tier,No Tier,No Date Reported,Tier 3,No
3,Tier 2,Tier 3,Tier 3,Tier 3,4,494,491,485,,,Tier 3,Tier 2,Tier 3,2025-08-16,Tier 1,Yes
45,Tier 2,Tier 3,Tier 3,Tier 2,7,500,492,496,,,Tier 1,Tier 1,Tier 1,2025-05-23,Tier 2,No
117,Tier 2,Tier 3,Tier 3,Tier 3,2,493,493,494,,,Tier 2,Tier 1,Tier 3,2025-06-28,Tier 1,Yes
106,Tier 2,Tier 3,Tier 3,Tier 1,5,491,494,482,,,Tier 1,Tier 1,Tier 1,2025-06-28,Tier 1,Yes
114,Tier 3,Tier 3,Tier 3,Tier 2,4,492,485,486,490,4,No Tier,No Tier,No Tier,No Date Reported,Tier 2,Yes
115,Tier 2,Tier 3,Tier 3,Tier 3,4,487,496,487,,,Tier 1,Tier 2,Tier 1,2025-07-12,Tier 1,Yes
26,Tier 2,Tier 3,Tier 3,Tier 2,5,496,497,494,,,Tier 3,Tier 3,Tier 2,No Date Reported,Tier 3,No
17,Tier 2,Tier 3,Tier 3,Tier 3,2,508,508,496,,,Tier 1,Tier 3,Tier 1,2025-08-23,Tier 1,Yes
25,Tier 2,Tier 3,Tier 3,Tier 3,1,491,491,484,,,Tier 2,Tier 3,Tier 3,No Date Reported,Tier 2,Yes
118,Tier 2,Tier 3,Tier 3,Tier 3,1,488,488,480,487,7,Tier 1,Tier 3,Tier 3,2025-07-12,Tier 1,Yes
24,Tier 3,Tier 3,Tier 3,Tier 3,3,491,484,488,493,5,Tier 2,Tier 2,Tier 3,2025-05-23,Tier 2,No
144,Tier 2,Tier 3,Tier 3,Tier 2,3,491,495,483,,,Tier 2,Tier 2,Tier 1,No Date Reported,Tier 2,Yes
52,Tier 2,Tier 3,Tier 3,Tier 3,5,497,502,501,,,Tier 1,Tier 1,Tier 3,2025-06-28,Tier 1,Yes
138,Tier 3,Tier 3,Tier 3,Tier 1,2,491,489,492,,,Tier 1,Tier 1,Tier 2,No Date Reported,Tier 3,No
142,Tier 2,Tier 3,Tier 3,Tier 1,6,490,481,482,,,Tier 1,Tier 1,Tier 1,No Date Reported,Tier 3,No
132,Tier 2,Tier 3,Tier 3,Tier 3,2,498,498,490,,,Tier 3,Tier 3,Tier 3,2025-06-28,Tier 1,Yes
134,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,-,,487,,,Tier 2,,Tier 3,2025-08-22,Tier 2,No
70,Tier 3,Tier 3,Tier 3,Tier 3,1,487,487,481,,,Tier 1,Tier 3,Tier 1,No Date Reported,Tier 3,No
103,Tier 3,Tier 3,Tier 3,Tier 3,No reported scores besides baseline,493,,483,,,Tier 1,Tier 3,Tier 3,2025-07-12,Tier 2,No
113,Tier 2,Tier 3,Tier 3,Tier 1,3,492,492,495,,,Tier 1,Tier 1,Tier 1,2025-07-12,Tier 1,Yes
58,Tier 3,Tier 3,Tier 3,Tier 3,1,495,495,494,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 2,Yes
145,Tier 2,Tier 3,Tier 3,Tier 3,3,495,497,496,502,6,Tier 2,Tier 3,Tier 3,2025-07-25,Tier 1,Yes
46,Tier 2,Tier 3,Tier 3,Tier 3,4,493,494,495,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 2,Yes
148,Tier 3,Tier 3,Tier 3,Tier 3,1,491,491,493,,,Tier 3,Tier 3,Tier 3,No Date Reported,Tier 3,No
77,Tier 2,Tier 3,Tier 3,Tier 1,5,491,494,493,,,Tier 1,,Tier 1,No Date Reported,Tier 3,No